prior,update_form,detection_rate,mean_n_missions,median_n_missions,mean_cost_used,mean_final_p_true,mean_final_entropy,n_trials,round,split
P8_mixed_wit_vague,soft_x0_75,0.3333333333333333,9.416666666666666,12.0,486.3333333333333,0.0021967178938056627,6.492441694349182,12,1,train
P8_mixed_wit_vague,std,0.3333333333333333,9.416666666666666,12.0,486.3333333333333,0.002162500596087033,6.497543465571955,12,1,train
EB_r01_bw2.5_u10,explore_x1_5,0.3333333333333333,6.916666666666667,9.0,461.0,0.002162305735122241,6.3314988352092305,12,1,train
EB_r01_bw2.5_u10,lik_x1_5,0.3333333333333333,6.916666666666667,9.0,461.0,0.002162305735122241,6.3314988352092305,12,1,train
P8_mixed_wit_vague,lik_x1_5,0.3333333333333333,9.583333333333334,12.0,488.6666666666667,0.0021047293881787848,6.478021203402926,12,1,train
P8_mixed_wit_vague,explore_x1_5,0.3333333333333333,7.416666666666667,9.0,491.3333333333333,0.0020897553776724263,6.467524739558119,12,1,train
P8_mixed_wit_vague,lik_x2,0.3333333333333333,9.583333333333334,12.0,488.6666666666667,0.0020600325426436963,6.439644385047273,12,1,train
P3_quadratic_nowit_informative,std,0.3333333333333333,9.0,12.0,424.3333333333333,0.002013730998158149,6.7187820510080245,12,1,train
EB_r01_bw2.5_u10,lik_x2,0.3333333333333333,6.916666666666667,9.0,461.0,0.001990466265375804,6.336567204940874,12,1,train
P3_quadratic_nowit_informative,soft_x0_75,0.3333333333333333,8.333333333333334,11.0,427.0,0.001969485425401662,6.719889603589209,12,1,train
P9_mixed_wit_uniform30,soft_x0_75,0.3333333333333333,6.75,8.0,445.3333333333333,0.0010505285225891482,7.261411878772955,12,1,train
P9_mixed_wit_uniform30,std,0.3333333333333333,6.75,8.0,445.3333333333333,0.0010345835873779075,7.259173477189797,12,1,train
P9_mixed_wit_uniform30,explore_x1_5,0.3333333333333333,5.333333333333333,6.0,469.8333333333333,0.000942909515801884,7.249452486766441,12,1,train
P9_mixed_wit_uniform30,lik_x1_5,0.3333333333333333,5.333333333333333,6.0,469.8333333333333,0.000942909515801884,7.249452486766441,12,1,train
P9_mixed_wit_uniform30,lik_x2,0.3333333333333333,5.333333333333333,6.0,469.8333333333333,0.0009238246183647815,7.238546506832759,12,1,train
P7_mixed_wit_weak,lik_x2,0.25,8.416666666666666,10.0,481.25,0.001958605407756524,6.748788663733918,12,1,train
P7_mixed_wit_weak,explore_x1_5,0.25,8.416666666666666,10.0,481.25,0.0019398684835407421,6.76071792524284,12,1,train
P7_mixed_wit_weak,lik_x1_5,0.25,8.416666666666666,10.0,481.25,0.0019398684835407421,6.76071792524284,12,1,train
P3_quadratic_nowit_informative,explore_x1_5,0.25,9.666666666666666,12.0,413.0,0.0019384015005884554,6.726084324658191,12,1,train
P3_quadratic_nowit_informative,lik_x1_5,0.25,9.666666666666666,12.0,413.0,0.0019384015005884554,6.726084324658191,12,1,train
P7_mixed_wit_weak,std,0.25,8.416666666666666,10.0,481.25,0.0019114608191619555,6.7703324068435435,12,1,train
P7_mixed_wit_weak,soft_x0_75,0.25,8.416666666666666,10.0,481.25,0.0018942200584653416,6.768837297392092,12,1,train
P3_quadratic_nowit_informative,lik_x2,0.25,9.75,12.0,425.3333333333333,0.0017848433680318304,6.697826771413864,12,1,train
P5_mixed_nowit_informative,explore_x1_5,0.25,7.166666666666667,9.0,420.5,0.001781025310641714,6.83953884405652,12,1,train
P5_mixed_nowit_informative,lik_x1_5,0.25,7.166666666666667,9.0,420.5,0.001781025310641714,6.83953884405652,12,1,train
P5_mixed_nowit_informative,lik_x2,0.25,7.166666666666667,9.0,420.5,0.0017805569956027558,6.823003653003869,12,1,train
P5_mixed_nowit_informative,std,0.25,7.166666666666667,9.0,420.5,0.0017795407334402125,6.858507827720596,12,1,train
P5_mixed_nowit_informative,soft_x0_75,0.25,8.666666666666666,11.0,418.25,0.0017666321970051752,6.8631224666062876,12,1,train
P4_quadratic_wit_informative,lik_x2,0.25,10.5,12.0,475.1666666666667,0.0016072561023264742,6.716079337219578,12,1,train
P4_quadratic_wit_informative,explore_x1_5,0.25,10.416666666666666,12.0,461.0,0.001558346528133384,6.746688116251835,12,1,train
P4_quadratic_wit_informative,lik_x1_5,0.25,10.416666666666666,12.0,461.0,0.001558346528133384,6.746688116251835,12,1,train
P4_quadratic_wit_informative,soft_x0_75,0.25,9.666666666666666,11.0,509.0,0.0015520102292170908,6.748960434345885,12,1,train
P4_quadratic_wit_informative,std,0.25,10.416666666666666,12.0,506.0,0.001506480133674681,6.746969680847177,12,1,train
P10_mixed_wit_uniform50_temp2,soft_x0_75,0.25,6.083333333333333,7.0,460.0833333333333,0.0008972404328509752,7.361185941618692,12,1,train
P10_mixed_wit_uniform50_temp2,std,0.25,6.083333333333333,7.0,460.0833333333333,0.0008840167722619156,7.354882371654355,12,1,train
P10_mixed_wit_uniform50_temp2,explore_x1_5,0.25,6.083333333333333,7.0,460.0833333333333,0.0008624783187301282,7.341811958831943,12,1,train
P10_mixed_wit_uniform50_temp2,lik_x1_5,0.25,6.083333333333333,7.0,460.0833333333333,0.0008624783187301282,7.341811958831943,12,1,train
P10_mixed_wit_uniform50_temp2,lik_x2,0.25,6.083333333333333,7.0,460.0833333333333,0.0008477448571246378,7.331575324405612,12,1,train
